customer_id,account_id,loan_type,loan_amount,interest_rate,tenure_months,emi_amount,loan_start_date,loan_end_date,loan_status,approved_by,approved_date,created_at,outstanding_balance,paid_emi_count,next_emi_date,rejection_reason
189,1475,Gold Loan,171000,8.69,48,4230.22,2026-03-13,2030-03-13,Defaulted,72,2026-02-28,2026-03-13,181899.46,5,2026-09-13,
955,1221,Gold Loan,321000,8.3,24,14561.92,2023-10-13,2025-10-13,Active,83,2023-09-26,2023-10-13,0.00,24,2025-11-13,
146,475,Personal Loan,1109000,17.86,72,25206.15,2025-07-01,2031-07-01,Pending,,,2025-07-01,1109000,0,,
525,1498,Business Loan,2949000,13.35,120,44642.61,2024-04-15,2034-04-15,Active,31,2024-03-16,2024-04-15,4107120.12,28,2026-09-15,
828,377,Education Loan,1043000,9.48,72,19050.07,2024-02-19,2030-02-19,Active,53,2024-02-18,2024-02-19,800102.94,30,2026-09-19,
77,160,Personal Loan,1445000,15.91,60,35070.53,2024-03-28,2029-03-28,Active,85,2024-03-13,2024-03-28,1087186.43,29,2026-09-28,
838,770,Personal Loan,979000,10.03,72,18151.61,2026-01-24,2032-01-24,Pending,,,2026-01-24,979000,0,,
683,286,Personal Loan,1341000,15.38,36,46736.14,2021-11-16,2024-11-16,Active,90,2021-10-24,2021-11-16,0.00,36,2024-12-16,
618,353,Car Loan,2127000,11.21,84,36654.7,2024-04-16,2031-04-16,Active,16,2024-04-13,2024-04-16,2052663.20,28,2026-09-16,
541,878,Gold Loan,324000,10.48,24,15022.84,2021-10-28,2023-10-28,Active,58,2021-10-05,2021-10-28,0.00,24,2023-11-28,
212,492,Business Loan,1832000,11.06,48,47402.4,2023-10-14,2027-10-14,Active,85,2023-10-01,2023-10-14,663633.60,34,2026-09-14,
309,1140,Education Loan,334000,7.88,180,3168.78,2025-11-16,2040-11-16,Active,55,2025-11-05,2025-11-16,541861.38,9,2026-09-16,
155,1084,Gold Loan,706000,10.99,60,15346.63,2023-01-26,2028-01-26,Active,12,2023-01-12,2023-01-26,260892.71,43,2026-09-26,
332,993,Personal Loan,758000,16.02,72,16450.76,2025-12-13,2031-12-13,Approved,67,2025-11-19,2025-12-13,1052848.64,8,2026-09-13,
238,1236,Gold Loan,452000,10.63,60,9744.38,2022-10-09,2027-10-09,Active,20,2022-09-17,2022-10-09,136421.32,46,2026-09-09,
115,444,Car Loan,1415000,11.36,72,27194.85,2024-03-02,2030-03-02,Defaulted,69,2024-02-17,2024-03-02,1169378.55,29,2026-09-02,
931,987,Car Loan,1714000,10.16,60,36552.52,2023-06-09,2028-06-09,Active,10,2023-06-01,2023-06-09,804155.44,38,2026-09-09,
321,734,Home Loan,4283000,8.72,228,38513.7,2026-05-21,2045-05-21,Closed,24,2026-05-19,2026-05-21,0.00,228,,
255,894,Gold Loan,574000,13.57,60,13228.36,2021-12-02,2026-12-02,Pending,,,2021-12-02,574000,0,,
467,1190,Education Loan,1709000,7.85,144,18358.85,2024-10-24,2036-10-24,Approved,35,2024-09-29,2024-10-24,2239779.70,22,2026-09-24,
128,875,Gold Loan,50000,13.41,12,4475.49,2021-12-16,2022-12-16,Active,72,2021-11-22,2021-12-16,0.00,12,2023-01-16,
718,1032,Home Loan,7450000,7.68,228,62205.26,2024-10-30,2043-10-30,Closed,37,2024-10-15,2024-10-30,0.00,228,,
107,191,Home Loan,4562000,7.82,144,48932.35,2022-07-08,2034-07-08,Approved,73,2022-06-25,2022-07-08,4648573.25,49,2026-09-08,
116,1008,Personal Loan,1447000,14.39,72,30119.53,2025-06-08,2031-06-08,Active,37,2025-05-30,2025-06-08,1746932.74,14,2026-09-08,
756,114,Personal Loan,668000,14.87,60,15846.13,2026-02-26,2031-02-26,Active,39,2026-02-19,2026-02-26,855691.02,6,2026-09-26,
478,652,Business Loan,1189000,11.53,60,26167.12,2025-07-03,2030-07-03,Active,62,2025-06-26,2025-07-03,1229854.64,13,2026-09-03,
496,1231,Personal Loan,284000,13.64,60,6555.3,2023-02-07,2028-02-07,Active,42,2023-01-11,2023-02-07,117995.40,42,2026-09-07,
769,906,Car Loan,741000,8.34,36,23336.65,2023-09-09,2026-09-09,Closed,50,2023-08-20,2023-09-09,0.00,36,,
395,777,Home Loan,1837000,9.22,168,19505.94,2024-09-21,2038-09-21,Active,40,2024-09-19,2024-09-21,2828361.30,23,2026-09-21,
583,1382,Home Loan,3247000,7.32,204,27865.55,2022-01-07,2039-01-07,Active,47,2021-12-14,2022-01-07,4151966.95,55,2026-09-07,
298,1268,Home Loan,5986000,7.89,228,50747.1,2025-04-20,2044-04-20,Active,96,2025-03-24,2025-04-20,10758385.20,16,2026-09-20,
17,884,Gold Loan,531000,8.74,12,46372.74,2024-09-30,2025-09-30,Defaulted,23,2024-09-02,2024-09-30,139118.22,9,2025-07-30,
663,1133,Personal Loan,1327000,14.62,36,45754.34,2023-07-02,2026-07-02,Active,19,2023-06-21,2023-07-02,0.00,36,2026-08-02,
609,690,Car Loan,1233000,9.06,72,22262.22,2024-12-01,2030-12-01,Closed,44,2024-11-20,2024-12-01,0.00,72,,
185,405,Home Loan,7700000,9.26,192,77023.62,2023-07-21,2039-07-21,Pending,,,2023-07-21,7700000,0,,
56,1272,Gold Loan,448000,8.48,24,20360.04,2022-04-25,2024-04-25,Defaulted,76,2022-04-05,2022-04-25,61080.12,21,2024-02-25,
332,735,Home Loan,1245000,9.26,204,12136.94,2024-08-26,2041-08-26,Approved,37,2024-08-18,2024-08-26,2184649.20,24,2026-09-26,
422,495,Business Loan,2012000,9.5,96,30000.71,2023-08-23,2031-08-23,Active,38,2023-08-13,2023-08-23,1800042.60,36,2026-09-23,
418,994,Personal Loan,132000,13.99,48,3606.43,2022-08-16,2026-08-16,Approved,81,2022-07-29,2022-08-16,0.00,48,2026-09-16,
201,1113,Gold Loan,65000,13.61,12,5824.24,2024-09-04,2025-09-04,Pending,,,2024-09-04,65000,0,,
340,559,Gold Loan,118000,10.19,36,3818.06,2025-10-29,2028-10-29,Active,57,2025-10-24,2025-10-29,99269.56,10,2026-09-29,
611,896,Personal Loan,1010000,11.05,84,17320.22,2023-01-30,2030-01-30,Closed,11,2023-01-09,2023-01-30,0.00,84,,
675,1355,Business Loan,2125000,15.83,24,103874.08,2023-12-28,2025-12-28,Active,31,2023-11-28,2023-12-28,0.00,24,2026-01-28,
598,908,Education Loan,534000,10.26,72,9962.96,2023-06-29,2029-06-29,Approved,9,2023-06-24,2023-06-29,338740.64,38,2026-09-29,
301,1082,Gold Loan,175000,8.5,48,4313.45,2023-05-02,2027-05-02,Defaulted,79,2023-04-08,2023-05-02,38821.05,39,2026-09-02,
706,533,Home Loan,2925000,9.43,120,37736.77,2022-09-05,2032-09-05,Approved,87,2022-08-22,2022-09-05,2754784.21,47,2026-09-05,
993,52,Education Loan,231000,8.1,72,4061.47,2022-08-15,2028-08-15,Active,67,2022-07-16,2022-08-15,97475.28,48,2026-09-15,
776,11,Education Loan,1102000,9.65,180,11607.31,2026-01-06,2041-01-06,Pending,,,2026-01-06,1102000,0,,
317,1087,Education Loan,1155000,6.79,120,13285.86,2023-09-28,2033-09-28,Approved,4,2023-09-03,2023-09-28,1129298.10,35,2026-09-28,
120,789,Car Loan,376000,10.23,84,6286.82,2026-04-07,2033-04-07,Active,95,2026-04-01,2026-04-07,502945.60,4,2026-09-07,
464,99,Education Loan,108000,7.9,120,1304.64,2026-03-16,2036-03-16,Active,67,2026-02-24,2026-03-16,150033.60,5,2026-09-16,
72,1013,Car Loan,2167000,11.43,36,71386.88,2022-11-10,2025-11-10,Approved,93,2022-11-05,2022-11-10,0.00,36,2025-12-10,
335,945,Personal Loan,979000,11.94,24,46057.5,2021-11-01,2023-11-01,Active,47,2021-10-07,2021-11-01,0.00,24,2023-12-01,
906,655,Home Loan,1577000,9.26,132,19089.36,2022-08-15,2033-08-15,Active,31,2022-07-21,2022-08-15,1603506.24,48,2026-09-15,
384,192,Personal Loan,1255000,17.51,60,31535.17,2023-04-16,2028-04-16,Rejected,,,2023-04-16,0.00,0,,Incomplete documentation
949,1078,Home Loan,1656000,7.61,216,14101.29,2026-05-12,2044-05-12,Active,97,2026-04-21,2026-05-12,3003574.77,3,2026-09-12,
495,918,Car Loan,1525000,8.85,48,37841.16,2024-07-12,2028-07-12,Active,38,2024-07-09,2024-07-12,870346.68,25,2026-09-12,
641,55,Business Loan,1516000,14.73,24,73311.43,2022-11-03,2024-11-03,Closed,57,2022-10-19,2022-11-03,0.00,24,,
285,815,Personal Loan,167000,14.72,48,4624.07,2025-10-01,2029-10-01,Defaulted,31,2025-09-07,2025-10-01,175714.66,10,2026-09-01,
288,271,Gold Loan,657000,8.73,48,16265.37,2026-07-13,2030-07-13,Active,11,2026-06-24,2026-07-13,764472.39,1,2026-09-13,
422,495,Education Loan,883000,8.97,132,10546.77,2024-11-24,2035-11-24,Active,37,2024-11-16,2024-11-24,1170691.47,21,2026-09-24,
184,886,Gold Loan,887000,11.87,12,78754.94,2025-01-19,2026-01-19,Active,58,2025-01-03,2025-01-19,0.00,12,2026-02-19,
324,469,Gold Loan,339000,8.94,12,29636.62,2024-05-14,2025-05-14,Rejected,,,2024-05-14,0.00,0,,Low credit score
745,42,Home Loan,6619000,7.17,132,72633.13,2023-07-21,2034-07-21,Closed,1,2023-07-17,2023-07-21,0.00,132,,
491,294,Car Loan,2492000,8.51,60,51139.21,2025-07-28,2030-07-28,Defaulted,45,2025-07-25,2025-07-28,2403542.87,13,2026-09-28,
923,741,Business Loan,758000,9.13,36,24150.09,2024-08-28,2027-08-28,Active,3,2024-08-06,2024-08-28,289801.08,24,2026-09-28,
928,779,Education Loan,1846000,8.68,132,21754.71,2022-04-07,2033-04-07,Pending,,,2022-04-07,1846000,0,,
528,20,Personal Loan,634000,13.48,12,56770.03,2022-03-08,2023-03-08,Active,77,2022-02-24,2022-03-08,0.00,12,2023-04-08,
819,859,Gold Loan,450000,9.22,36,14356.0,2024-05-04,2027-05-04,Closed,7,2024-04-23,2024-05-04,0.00,36,,
51,522,Personal Loan,206000,12.77,84,3721.83,2022-09-28,2029-09-28,Active,56,2022-09-12,2022-09-28,137707.71,47,2026-09-28,
712,554,Gold Loan,934000,11.21,60,20405.38,2026-01-17,2031-01-17,Rejected,,,2026-01-17,0.00,0,,Unstable employment history
202,704,Personal Loan,51000,16.35,12,4635.72,2023-02-15,2024-02-15,Active,83,2023-01-31,2023-02-15,0.00,12,2024-03-15,
269,940,Gold Loan,324000,9.27,12,28374.86,2023-12-21,2024-12-21,Defaulted,92,2023-11-22,2023-12-21,85124.58,9,2024-10-21,
120,853,Home Loan,7225000,8.94,180,73023.1,2022-01-26,2037-01-26,Active,63,2022-01-12,2022-01-26,9127887.50,55,2026-09-26,
456,986,Business Loan,4200000,11.91,60,93235.78,2022-02-06,2027-02-06,Active,81,2022-02-03,2022-02-06,559414.68,54,2026-09-06,
834,374,Home Loan,7198000,9.31,216,68805.58,2025-08-03,2043-08-03,Pending,,,2025-08-03,7198000,0,,
659,1264,Personal Loan,1221000,11.7,60,26975.73,2023-12-31,2028-12-31,Closed,34,2023-12-14,2023-12-31,0.00,60,,
938,18,Gold Loan,435000,11.21,12,38488.64,2024-11-25,2025-11-25,Active,80,2024-11-05,2024-11-25,0.00,12,2025-12-25,
600,1092,Personal Loan,1306000,11.95,48,34359.94,2025-04-16,2029-04-16,Closed,55,2025-03-29,2025-04-16,0.00,48,,
303,560,Education Loan,298000,8.71,144,3342.84,2025-05-24,2037-05-24,Active,78,2025-05-18,2025-05-24,431226.36,15,2026-09-24,
340,559,Home Loan,4093000,7.43,168,39261.41,2022-01-26,2036-01-26,Active,31,2022-01-24,2022-01-26,4436539.33,55,2026-09-26,
419,786,Car Loan,1744000,11.08,48,45142.38,2022-10-23,2026-10-23,Closed,3,2022-10-02,2022-10-23,0.00,48,,
390,16,Personal Loan,1158000,14.6,48,31993.69,2026-01-29,2030-01-29,Approved,80,2026-01-06,2026-01-29,1311741.29,7,2026-09-29,
513,92,Gold Loan,375000,9.13,60,7808.06,2022-12-14,2027-12-14,Active,2,2022-11-16,2022-12-14,124928.96,44,2026-09-14,
924,118,Home Loan,4362000,9.35,192,43873.04,2026-02-26,2042-02-26,Approved,76,2026-01-29,2026-02-26,8160385.44,6,2026-09-26,
268,1196,Education Loan,1910000,6.7,96,25756.17,2024-04-02,2032-04-02,Closed,41,2024-03-22,2024-04-02,0.00,96,,
507,702,Personal Loan,1025000,13.09,12,91593.49,2026-03-08,2027-03-08,Active,50,2026-02-07,2026-03-08,641154.43,5,2026-09-08,
930,1110,Education Loan,333000,6.65,180,2928.32,2025-03-25,2040-03-25,Active,47,2025-02-28,2025-03-25,477316.16,17,2026-09-25,
208,573,Gold Loan,847000,9.08,24,38726.07,2026-05-01,2028-05-01,Active,93,2026-04-16,2026-05-01,813247.47,3,2026-09-01,
958,904,Home Loan,6399000,8.05,204,57670.26,2023-12-25,2040-12-25,Closed,62,2023-12-21,2023-12-25,0.00,204,,
295,623,Home Loan,7545000,8.33,132,87475.82,2022-03-08,2033-03-08,Pending,,,2022-03-08,7545000,0,,
592,442,Home Loan,3292000,8.0,216,28803.77,2023-09-12,2041-09-12,Rejected,,,2023-09-12,0.00,0,,Eligibility criteria not met
152,1451,Business Loan,4498000,11.7,96,72365.89,2025-01-26,2033-01-26,Closed,33,2025-01-13,2025-01-26,0.00,96,,
255,756,Education Loan,1639000,7.7,72,28497.49,2025-03-27,2031-03-27,Active,71,2025-03-07,2025-03-27,1567361.95,17,2026-09-27,
768,1061,Business Loan,2831000,14.89,24,137117.79,2023-12-25,2025-12-25,Closed,99,2023-12-06,2023-12-25,0.00,24,,
681,22,Personal Loan,363000,14.14,48,9945.02,2023-03-20,2027-03-20,Active,28,2023-02-27,2023-03-20,69615.14,41,2026-09-20,
785,640,Business Loan,1553000,15.19,84,30133.65,2023-09-21,2030-09-21,Pending,,,2023-09-21,1553000,0,,
950,1296,Gold Loan,713000,8.5,36,22507.65,2021-12-02,2024-12-02,Active,85,2021-11-10,2021-12-02,0.00,36,2025-01-02,
590,754,Gold Loan,94000,9.94,12,8261.47,2025-01-07,2026-01-07,Approved,6,2024-12-16,2025-01-07,0.00,12,2026-02-07,
859,344,Gold Loan,105000,13.76,24,5029.46,2026-04-24,2028-04-24,Defaulted,23,2026-03-29,2026-04-24,100589.20,4,2026-09-24,
151,1060,Home Loan,3071000,7.47,180,28416.22,2025-03-05,2040-03-05,Closed,85,2025-02-26,2025-03-05,0.00,180,,
250,315,Education Loan,1276000,8.67,180,12692.75,2026-04-05,2041-04-05,Approved,8,2026-03-07,2026-04-05,2233924.00,4,2026-09-05,
456,287,Gold Loan,503000,8.84,36,15957.84,2026-06-09,2029-06-09,Active,33,2026-05-11,2026-06-09,542566.56,2,2026-09-09,
394,365,Home Loan,2294000,9.18,144,26339.52,2024-11-13,2036-11-13,Closed,47,2024-10-24,2024-11-13,0.00,144,,
783,255,Education Loan,574000,8.89,84,9203.12,2023-12-09,2030-12-09,Defaulted,55,2023-12-07,2023-12-09,478562.24,32,2026-09-09,
383,1199,Education Loan,742000,9.82,180,7892.06,2024-02-09,2039-02-09,Active,5,2024-02-04,2024-02-09,1183809.00,30,2026-09-09,
419,786,Personal Loan,1443000,14.37,60,33853.53,2026-04-29,2031-04-29,Active,21,2026-04-03,2026-04-29,1895797.68,4,2026-09-29,
684,538,Gold Loan,793000,11.66,48,20750.6,2025-11-13,2029-11-13,Active,65,2025-10-28,2025-11-13,809273.40,9,2026-09-13,
177,590,Business Loan,1114000,15.45,72,23828.63,2024-07-30,2030-07-30,Pending,,,2024-07-30,1114000,0,,
