merchant_code,merchant_name,merchant_category,merchant_type,contact_number,merchant_email,gst_number,building_no,street,city,state,pincode,country,merchant_status,created_at,risk_level
MER00028,Lata-Garde,Retail,Business,8861781663,lata-garde28@merchant.com,831939761691Z9,669,Gupta Path,Katihar,Bihar,868673,India,Active,2019-05-26,Low
MER00029,Chopra and Sons,Travel,Business,8110903010,chopraandsons29@merchant.com,659771040101ZG,273,Gara Road,Kadapa,Andhra Pradesh,228080,India,Active,2025-07-07,Low
MER00030,"Mallick, Jha and Setty",E-commerce,Business,8896017497,mallickjhaandsetty30@merchant.com,563870804491ZR,759,Sekhon Marg,Orai,Odisha,625387,India,Active,2020-10-28,Low
MER00031,Roy-Prabhakar,Education,Business,8713299575,roy-prabhakar31@merchant.com,624538201291ZO,305,Dar Chowk,Tenali,Tripura,398593,India,Active,2025-08-05,Low
MER00032,Sunder-Tak,Healthcare,Business,8365147124,sunder-tak32@merchant.com,219750281651ZF,801,Barad Marg,Alwar,Uttar Pradesh,808264,India,Active,2026-06-12,Medium
MER00033,"Patla, Gaba and Kari",Retail,Business,8864225938,patlagabaandkari33@merchant.com,216701986001Z5,111,Desai Marg,Sagar,Sikkim,799044,India,Active,2025-10-30,Medium
MER00034,"Bajaj, Edwin and Varkey",Fuel,Business,7857248787,bajajedwinandvarkey34@merchant.com,988110248881Z9,885,Gade Nagar,Srikakulam,Jharkhand,363594,India,Active,2025-05-22,Low
MER00035,Bassi LLC,Grocery,Business,8070077024,bassillc35@merchant.com,226231637771ZD,211,Sekhon Nagar,Bangalore,Punjab,715923,India,Active,2021-03-28,Medium
MER00036,Bhagat Ltd,Utilities,Business,7526006680,bhagatltd36@merchant.com,302140190861ZA,67,Sampath Ganj,Rajpur Sonarpur,Kerala,453619,India,Active,2018-04-22,Medium
MER00037,Natt-Koshy,Fuel,Business,8034797340,natt-koshy37@merchant.com,566603855001ZP,430,Tailor Circle,Dharmavaram,Sikkim,235230,India,Active,2025-03-12,Low
MER00038,Kade-Keer,Fuel,Business,8778658467,kade-keer38@merchant.com,752025626061ZJ,247,Chandran Ganj,Nanded,Madhya Pradesh,252000,India,Active,2020-07-16,Low
MER00039,Ahluwalia-Deshpande,Retail,Business,9686294550,ahluwalia-deshpande39@merchant.com,987495289301Z3,274,Keer Nagar,Howrah,Manipur,325654,India,Blocked,2025-06-20,Low
MER00040,"Roy, Raman and Amble",Entertainment,Individual,8789836642,royramanandamble40@merchant.com,536455605171ZF,150,Baria Chowk,Burhanpur,Uttar Pradesh,188271,India,Active,2021-05-19,Low
MER00041,Balay-Dhar,Grocery,Individual,9626852783,balay-dhar41@merchant.com,161414565401ZU,55,Sant Circle,Nadiad,Mizoram,231251,India,Active,2018-01-15,Medium
MER00042,Bakshi Group,Grocery,Corporate,7573701447,bakshigroup42@merchant.com,576470751191Z2,192,Babu Chowk,Aizawl,Madhya Pradesh,409648,India,Active,2019-10-29,Low
MER00043,Pant-Sule,Healthcare,Business,8925321120,pant-sule43@merchant.com,229287401591ZA,530,Khurana,Faridabad,Nagaland,599361,India,Active,2025-10-29,Medium
MER00044,Barman-Chatterjee,Retail,Business,8900844448,barman-chatterjee44@merchant.com,492535297951Z7,265,Raman Zila,Nagaon,Meghalaya,645404,India,Active,2025-05-02,Low
MER00045,"Hayer, Cheema and Gala",E-commerce,Business,8819799788,hayercheemaandgala45@merchant.com,729340063851Z0,72,Halder,Solapur,Uttar Pradesh,556688,India,Active,2023-12-29,Low
MER00046,Setty-Kant,E-commerce,Business,8904247000,setty-kant46@merchant.com,532478511031Z9,435,Dutta Circle,Pimpri-Chinchwad,Odisha,573535,India,Suspended,2026-03-12,High
MER00047,Seth Group,E-commerce,Business,7921387686,sethgroup47@merchant.com,509044679971ZQ,443,Suri Path,Ozhukarai,Andhra Pradesh,316465,India,Active,2020-11-25,Low
MER00048,"Hans, Natt and Seth",Retail,Business,9880388843,hansnattandseth48@merchant.com,869988801661Z2,528,Iyengar,Nagercoil,Nagaland,103075,India,Active,2022-11-16,Low
MER00049,Toor Inc,Entertainment,Business,7577123032,toorinc49@merchant.com,923739236711Z8,818,Padmanabhan,Katihar,Telangana,510130,India,Active,2023-02-15,Low
MER00050,"Raj, Sharaf and Shukla",Grocery,Corporate,7760612355,rajsharafandshukla50@merchant.com,248526037181ZT,648,Lanka Marg,Kakinada,Kerala,699827,India,Active,2024-04-02,Medium
MER00051,"Pradhan, Keer and Mitter",Grocery,Business,8795138245,pradhankeerandmitter51@merchant.com,695417935871ZE,562,Bala Road,Ghaziabad,Bihar,557736,India,Active,2025-12-25,Medium
MER00052,"Dani, Wable and Pillay",E-commerce,Business,8174842045,daniwableandpillay52@merchant.com,283138869111ZB,338,Barad Circle,Aligarh,Assam,678050,India,Active,2020-05-02,Low
MER00053,Baria-Balakrishnan,Utilities,Business,9611931600,baria-balakrishnan53@merchant.com,848101403981ZI,250,Barad Zila,Medininagar,Sikkim,657173,India,Active,2019-07-24,Low
MER00054,Rege Group,Restaurant,Corporate,7301094350,regegroup54@merchant.com,749725390431ZZ,494,Memon Nagar,Thane,West Bengal,733549,India,Active,2025-09-14,Low
MER00055,"Ratti, Choudhury and Kumer",Healthcare,Individual,8307141939,rattichoudhuryandkumer55@merchant.com,192153196801ZQ,363,Mallick Road,Nellore,Tamil Nadu,886321,India,Active,2023-12-03,Low
MER00056,Bora and Sons,Education,Business,9470323085,boraandsons56@merchant.com,274125709971Z8,742,Bhasin,Dhule,Uttarakhand,476520,India,Inactive,2021-02-18,Low
MER00057,"Kadakia, Bala and Pillai",E-commerce,Individual,7780054639,kadakiabalaandpillai57@merchant.com,663910052761Z4,595,Prabhu Ganj,Bongaigaon,Haryana,595104,India,Active,2025-07-09,Medium
MER00058,Ramesh-Wagle,Grocery,Business,7533408692,ramesh-wagle58@merchant.com,379991328741ZS,562,Barad Marg,Salem,Telangana,570466,India,Active,2023-05-02,Medium
MER00059,Dash Group,Grocery,Business,9809105279,dashgroup59@merchant.com,946302327581ZF,766,Butala Street,Bhopal,Uttar Pradesh,374804,India,Active,2020-09-16,Low
MER00060,"Som, Sama and Rana",Grocery,Business,9532827149,somsamaandrana60@merchant.com,943552127581ZM,260,Chaudhari Road,Nizamabad,Punjab,452512,India,Blocked,2025-04-18,Low
MER00061,Kurian PLC,Restaurant,Business,7759843564,kurianplc61@merchant.com,115754648141ZN,360,Sarraf Marg,Guntur,Nagaland,875712,India,Active,2018-12-08,Medium
MER00062,"Vaidya, Kashyap and Bhalla",Grocery,Business,9348418811,vaidyakashyapandbhalla62@merchant.com,523856603041ZP,54,Kakar Road,Jamshedpur,Andhra Pradesh,389159,India,Active,2021-02-24,Low
MER00063,"Sami, Gokhale and Kata",E-commerce,Business,8568406668,samigokhaleandkata63@merchant.com,536246004931Z4,32,Krishna Marg,Tiruchirappalli,Tripura,860417,India,Active,2022-01-13,Low
MER00064,Shukla-Nadkarni,Retail,Individual,7616396569,shukla-nadkarni64@merchant.com,908214513211ZK,897,Choudhury Chowk,Bharatpur,Maharashtra,527006,India,Suspended,2018-07-15,Low
MER00065,"Savant, Madan and Banerjee",Healthcare,Individual,7882004946,savantmadanandbanerjee65@merchant.com,882227113751ZG,953,Goswami Ganj,Nandyal,West Bengal,478087,India,Active,2021-03-22,Low
MER00066,Wadhwa-Doctor,Restaurant,Individual,8735723901,wadhwa-doctor66@merchant.com,981892728031ZZ,503,Kuruvilla Zila,Guwahati,Punjab,260156,India,Active,2021-03-07,Low
MER00067,Dhingra-Baral,Fuel,Business,9790003926,dhingra-baral67@merchant.com,368399191301ZA,227,Vyas,Fatehpur,Andhra Pradesh,366055,India,Active,2023-09-10,Medium
MER00068,Bhatnagar PLC,Utilities,Business,8755311758,bhatnagarplc68@merchant.com,799007069781ZI,42,Setty Path,Gaya,Goa,566414,India,Active,2018-01-12,Low
MER00069,Setty Inc,Travel,Corporate,7016869370,settyinc69@merchant.com,364769006981ZS,584,Goda Ganj,Rajahmundry,Chhattisgarh,067238,India,Active,2021-02-01,Medium
MER00070,Bakshi and Sons,Utilities,Corporate,9768546621,bakshiandsons70@merchant.com,166725843011ZI,482,Chawla Path,Adoni,Andhra Pradesh,217698,India,Blocked,2021-03-14,Low
MER00071,Roy Ltd,Entertainment,Corporate,7588923092,royltd71@merchant.com,165196796961Z2,421,Ganesh Path,Chittoor,Chhattisgarh,362697,India,Active,2023-06-17,Low
MER00072,"Sandhu, Chadha and Zachariah",Restaurant,Individual,7193098420,sandhuchadhaandzachariah72@merchant.com,429296517191ZC,914,Madan Path,Guntakal,Arunachal Pradesh,318517,India,Active,2024-11-24,Low
MER00073,Venkatesh PLC,E-commerce,Business,9020043611,venkateshplc73@merchant.com,957741401641ZE,813,Sidhu,Bidhannagar,Telangana,864570,India,Active,2021-07-05,Medium
MER00074,Parsa LLC,Travel,Business,9611741101,parsallc74@merchant.com,698842315831ZM,463,Edwin,Gandhidham,Chhattisgarh,012338,India,Active,2022-04-27,Medium
MER00075,Buch Inc,Grocery,Business,7379082885,buchinc75@merchant.com,564114089931Z0,806,Buch Street,Chandrapur,Bihar,287865,India,Active,2024-12-04,Low
MER00076,"Nanda, Khare and Natt",Retail,Corporate,7619301831,nandakhareandnatt76@merchant.com,931753648831ZZ,496,Atwal Path,Chandrapur,Tamil Nadu,645343,India,Active,2019-01-16,Low
MER00077,"Trivedi, Mahal and Dyal",Retail,Business,8324399446,trivedimahalanddyal77@merchant.com,803032845811Z0,512,Sekhon Zila,Mumbai,Punjab,341498,India,Active,2021-08-21,High
MER00078,"Ratta, Lanka and Dhar",Grocery,Business,7779297354,rattalankaanddhar78@merchant.com,169492832561ZT,432,Ghosh Circle,Durg,Madhya Pradesh,021708,India,Active,2024-06-19,Low
MER00079,Dyal-Yadav,Restaurant,Corporate,7204718016,dyal-yadav79@merchant.com,528886913501ZF,951,Munshi Zila,Panchkula,Madhya Pradesh,261721,India,Active,2022-07-24,Low
MER00080,Purohit-Boase,Retail,Business,9596560111,purohit-boase80@merchant.com,239990368621ZJ,438,Rajan Chowk,Gopalpur,Mizoram,181857,India,Active,2021-10-10,Medium
MER00081,Kohli Inc,Travel,Business,8446247810,kohliinc81@merchant.com,936516908861ZE,206,Roy Path,Tadipatri,Maharashtra,476333,India,Active,2025-12-27,Low
MER00082,Arora LLC,Utilities,Individual,7540622786,arorallc82@merchant.com,662409606541ZG,38,Raman Chowk,Haldia,Nagaland,835077,India,Active,2022-10-05,High
MER00083,Venkataraman-Parmar,Grocery,Individual,9425209899,venkataraman-parmar83@merchant.com,838620309371ZB,149,Dua Street,Amaravati,Manipur,580767,India,Active,2025-05-22,Low
MER00084,"Contractor, Nayak and Deshmukh",Retail,Business,9881731030,contractornayakanddeshmukh84@merchant.com,466615124621ZL,514,Sachdeva,Vijayawada,Telangana,936712,India,Active,2023-06-30,Low
MER00085,Trivedi Group,Grocery,Individual,9078723508,trivedigroup85@merchant.com,431280300041ZK,560,Anand Nagar,Purnia,Goa,121471,India,Active,2026-07-21,Low
MER00086,"Narayan, Sethi and Kamdar",Retail,Business,8232146887,narayansethiandkamdar86@merchant.com,447471290211ZB,78,Setty Marg,Alappuzha,Andhra Pradesh,511630,India,Active,2023-06-18,Low
MER00087,Venkataraman-Basak,Travel,Business,8967520733,venkataraman-basak87@merchant.com,714265985571ZU,736,Shan Circle,Shimoga,Uttarakhand,385047,India,Active,2023-08-02,High
MER00088,Dada Inc,Grocery,Corporate,9827413262,dadainc88@merchant.com,421351258171ZM,72,Sami,Raebareli,Manipur,847382,India,Active,2023-05-20,High
MER00089,Agrawal-Chakraborty,Entertainment,Business,7467404215,agrawal-chakraborty89@merchant.com,694449792651ZK,861,Sama Nagar,Madurai,Telangana,368835,India,Active,2021-11-10,Low
MER00090,Deep-Wadhwa,Retail,Business,7189745077,deep-wadhwa90@merchant.com,932501450931ZK,91,Naidu,Shimoga,Madhya Pradesh,557498,India,Active,2024-04-14,Low
MER00091,Anne PLC,Restaurant,Individual,9099388566,anneplc91@merchant.com,946279334181ZN,194,Dhillon Zila,Satara,Gujarat,550489,India,Active,2024-01-07,Low
MER00092,Rao-Kala,Grocery,Business,7122492851,rao-kala92@merchant.com,524887736791ZQ,698,Savant Nagar,Dhule,Uttar Pradesh,888819,India,Inactive,2018-07-12,Low
MER00093,Keer Group,E-commerce,Business,7761631210,keergroup93@merchant.com,219134268031ZR,816,Varghese Nagar,Bokaro,Jharkhand,611226,India,Active,2019-10-12,Medium
MER00094,Dua-Shan,Grocery,Corporate,9296832227,dua-shan94@merchant.com,119535027571ZI,977,Srinivas Zila,Dehri,Bihar,362591,India,Active,2021-10-19,Low
MER00095,Dash and Sons,Education,Business,7995808615,dashandsons95@merchant.com,869639880651ZQ,532,Bala Circle,Thiruvananthapuram,Rajasthan,871115,India,Active,2020-02-06,Low
MER00096,Butala-Ratta,Restaurant,Business,9999697960,butala-ratta96@merchant.com,598138029271ZL,907,Wadhwa Zila,New Delhi,Uttarakhand,361651,India,Active,2025-11-21,High
MER00097,Shanker Ltd,Restaurant,Business,7556894835,shankerltd97@merchant.com,898841555931ZX,645,Hegde,Jalgaon,Arunachal Pradesh,359026,India,Active,2023-11-07,Low
MER00098,Ramaswamy-Jhaveri,E-commerce,Business,9087206144,ramaswamy-jhaveri98@merchant.com,106402573671ZY,797,Bhakta Road,Rourkela,Haryana,818805,India,Active,2023-01-07,Low
MER00099,Issac Inc,Education,Business,8477643578,issacinc99@merchant.com,459512399411ZU,59,Sachdeva Nagar,Dharmavaram,Punjab,216850,India,Blocked,2019-11-07,Low
MER00100,Jaggi Group,Healthcare,Business,9161714730,jaggigroup100@merchant.com,284521790651ZF,907,Dar Ganj,Gulbarga,Tamil Nadu,151915,India,Active,2024-04-17,Low
MER00101,Muni PLC,E-commerce,Business,7133128982,muniplc101@merchant.com,626147199461Z4,592,Sane Ganj,Indore,Goa,891603,India,Active,2023-10-08,Low
MER00102,"Choudhury, Mangat and Palan",Travel,Business,8941136439,choudhurymangatandpalan102@merchant.com,926582432411ZY,757,Bawa Circle,Siliguri,Tripura,464132,India,Inactive,2023-12-02,Low
MER00103,Bobal-Pingle,Fuel,Business,9820130426,bobal-pingle103@merchant.com,289383548761Z3,438,Bora Marg,Kadapa,Mizoram,437753,India,Active,2023-05-01,Low
MER00104,Sani Ltd,E-commerce,Corporate,8919744765,saniltd104@merchant.com,785144861961ZS,52,Din Path,Danapur,Assam,492202,India,Active,2023-05-29,High
MER00105,Swaminathan Inc,Restaurant,Individual,8500700402,swaminathaninc105@merchant.com,712477355751ZJ,218,Tiwari Road,Bhiwani,Arunachal Pradesh,869527,India,Active,2024-11-05,Low
MER00106,Doctor Ltd,Restaurant,Corporate,9262640554,doctorltd106@merchant.com,646319242931ZB,527,Morar Marg,Gangtok,Andhra Pradesh,679918,India,Active,2020-04-02,Medium
MER00107,"Badal, Sura and Bava",Travel,Business,9105582112,badalsuraandbava107@merchant.com,305590412631ZM,452,Ahluwalia Road,Srinagar,Haryana,201757,India,Active,2020-05-08,Low
MER00108,Pandya-Bahl,Travel,Business,8205212318,pandya-bahl108@merchant.com,451363748301ZV,442,Mallick Nagar,Durg,Mizoram,878390,India,Active,2023-06-06,Medium
MER00109,Chahal Ltd,Grocery,Individual,8993725754,chahalltd109@merchant.com,262891345591ZC,783,Hegde Zila,Kakinada,Rajasthan,403742,India,Active,2023-11-05,Low
MER00110,Brar PLC,Utilities,Business,9871909735,brarplc110@merchant.com,293623211971ZH,556,Seth Circle,Kharagpur,Himachal Pradesh,312749,India,Active,2024-10-02,Low
MER00111,Dasgupta-Tandon,Restaurant,Business,7949596756,dasgupta-tandon111@merchant.com,695984532191ZL,538,Kalita Path,Kumbakonam,Nagaland,616714,India,Active,2018-06-29,High
MER00112,"Zachariah, Pai and Gandhi",Grocery,Corporate,8689148818,zachariahpaiandgandhi112@merchant.com,634044729681Z7,731,Mukhopadhyay Ganj,Serampore,Tripura,335400,India,Active,2022-01-08,Low
MER00113,"Yohannan, Varkey and Hayer",Restaurant,Corporate,9710214932,yohannanvarkeyandhayer113@merchant.com,691414617981ZU,916,Tella Chowk,Faridabad,Tripura,385090,India,Active,2024-12-13,Medium
MER00114,Sarna and Sons,Retail,Individual,8453617856,sarnaandsons114@merchant.com,864037507151ZA,255,Grewal Marg,Arrah,Tamil Nadu,101068,India,Active,2018-11-12,Low
MER00115,Purohit-Dutt,Grocery,Business,8934024778,purohit-dutt115@merchant.com,781103258211ZS,130,Sachdev Zila,Bikaner,Bihar,395357,India,Active,2024-07-28,Medium
MER00116,"Thakkar, Butala and Batra",Retail,Business,7403524763,thakkarbutalaandbatra116@merchant.com,243878475031Z2,641,Raja Nagar,Jodhpur,Bihar,943223,India,Active,2020-02-20,Low
MER00117,"Goda, Lata and Jani",Healthcare,Business,9127263607,godalataandjani117@merchant.com,755059353721Z6,896,Mistry Nagar,Tiruvottiyur,Arunachal Pradesh,199216,India,Active,2020-08-09,Low
MER00118,Shan and Sons,Healthcare,Business,9192384374,shanandsons118@merchant.com,634931004871ZP,154,Yohannan Chowk,Kottayam,Sikkim,145643,India,Active,2026-03-13,Low
MER00119,"Kulkarni, Comar and Brahmbhatt",E-commerce,Individual,9082224685,kulkarnicomarandbrahmbhatt119@merchant.com,955598882681ZD,559,Chaudhuri Chowk,Indore,Arunachal Pradesh,435957,India,Active,2024-07-17,Low
MER00120,"Nanda, Jha and Din",Grocery,Corporate,8882604285,nandajhaanddin120@merchant.com,701276698121ZX,592,Radhakrishnan Zila,Tiruchirappalli,Maharashtra,545809,India,Active,2021-10-19,Medium
MER00121,"Gulati, Mangal and Barman",Restaurant,Business,7189715605,gulatimangalandbarman121@merchant.com,383348190581ZY,66,Baria Road,Ahmedabad,Karnataka,504291,India,Active,2020-08-08,Low
MER00122,Vohra-Sharma,Fuel,Business,9437280396,vohra-sharma122@merchant.com,485098312641Z9,876,Verma,Bilaspur,Haryana,860014,India,Active,2020-10-22,High
MER00123,Narayan-Sood,Grocery,Business,9443378993,narayan-sood123@merchant.com,699976323621ZM,463,Ghose Zila,Berhampore,Jharkhand,947364,India,Active,2021-06-03,Medium
MER00124,Morar and Sons,Entertainment,Corporate,7079021729,morarandsons124@merchant.com,168773767241ZR,484,Kala Circle,Anantapur,Uttarakhand,269561,India,Active,2021-04-14,Low
MER00125,Tripathi-Wali,Travel,Business,8643848183,tripathi-wali125@merchant.com,955658877871ZJ,564,Yadav Chowk,Amravati,Bihar,758682,India,Blocked,2019-08-12,Low
MER00126,Brar-Khatri,Grocery,Individual,7448743400,brar-khatri126@merchant.com,645322728411ZV,128,Chanda Nagar,Ratlam,Gujarat,519530,India,Active,2021-02-21,Low
MER00127,Sabharwal LLC,Healthcare,Individual,7853962384,sabharwalllc127@merchant.com,147478822011ZN,594,Pillay Ganj,Pune,Odisha,486302,India,Active,2020-12-05,Medium
MER00128,Kadakia-Parmer,Retail,Business,9737251308,kadakia-parmer128@merchant.com,272342807811Z9,327,Jaggi,Shimla,Odisha,995676,India,Active,2020-10-02,Low
MER00129,Sharaf Group,Healthcare,Business,9456687756,sharafgroup129@merchant.com,143987619431Z5,167,Date Path,Dindigul,West Bengal,484905,India,Inactive,2019-06-23,Medium
MER00130,"Banik, Mohanty and Saran",Grocery,Corporate,9721907182,banikmohantyandsaran130@merchant.com,257366108371ZK,679,Palla Chowk,Bihar Sharif,Jharkhand,914586,India,Active,2026-03-26,Low
MER00131,"Bhasin, Dugal and Rastogi",Travel,Individual,8393607658,bhasindugalandrastogi131@merchant.com,624403975781ZT,819,Shankar Road,Hosur,Mizoram,646851,India,Active,2022-09-29,Low
MER00132,Konda Ltd,Grocery,Business,8944354230,kondaltd132@merchant.com,963775146531ZN,403,Verma Zila,Unnao,Rajasthan,564260,India,Active,2025-01-22,Low
MER00133,"Sharaf, Seshadri and Brar",Utilities,Corporate,7053000660,sharafseshadriandbrar133@merchant.com,835869733001Z1,507,Parmar Ganj,Bettiah,Arunachal Pradesh,238258,India,Inactive,2019-08-06,Low
MER00134,"Sura, Mann and Ahluwalia",Grocery,Business,9000971063,suramannandahluwalia134@merchant.com,662804924851ZK,899,Sridhar Street,Bharatpur,Madhya Pradesh,212198,India,Suspended,2025-02-01,Low
MER00135,Kothari PLC,Travel,Business,8885288579,kothariplc135@merchant.com,715812150671ZR,881,Mody Road,Tiruppur,Gujarat,658128,India,Active,2024-05-22,Medium
MER00136,"Choudhury, Ganguly and Balan",Education,Business,7598630182,choudhurygangulyandbalan136@merchant.com,847011089921ZK,136,Bhatia Circle,Kurnool,Assam,033327,India,Active,2025-07-06,Low
MER00137,Anne-Wadhwa,Utilities,Business,8756015345,anne-wadhwa137@merchant.com,159273667121ZM,740,Thakkar Road,Gangtok,Punjab,968210,India,Active,2019-07-20,Low
MER00138,Bhatia Group,E-commerce,Individual,9409339456,bhatiagroup138@merchant.com,234359060121ZU,156,Brahmbhatt Street,Gaya,Karnataka,047113,India,Active,2019-10-02,Medium
MER00139,Shah-Mohan,Education,Business,9229657878,shah-mohan139@merchant.com,765072285971ZZ,907,Mody Road,Kanpur,Rajasthan,357457,India,Active,2021-05-17,Low
MER00140,Pandya Inc,Utilities,Business,8690253100,pandyainc140@merchant.com,147165429561Z9,705,Khalsa Marg,Kurnool,Rajasthan,044413,India,Active,2019-05-15,Low
MER00141,Kamdar Group,Entertainment,Business,7403911924,kamdargroup141@merchant.com,259502462311ZL,706,Palla Street,Dehradun,Gujarat,639704,India,Active,2019-04-14,Medium
MER00142,"Seth, Singhal and Sha",Retail,Corporate,8555800474,sethsinghalandsha142@merchant.com,299779831291ZR,181,Srinivas Ganj,Srikakulam,Bihar,744653,India,Active,2026-07-17,Low
MER00143,Gopal LLC,Grocery,Individual,8473206181,gopalllc143@merchant.com,198652614811ZR,21,Agate Road,Rampur,Himachal Pradesh,153486,India,Active,2024-12-08,Low
MER00144,"Pathak, Butala and Dube",Grocery,Business,8466358638,pathakbutalaanddube144@merchant.com,769854656331ZB,486,Patla Circle,Rourkela,Sikkim,421673,India,Active,2021-03-30,Low
MER00145,Suresh-Buch,Healthcare,Corporate,8883501577,suresh-buch145@merchant.com,497132731871ZP,612,Oza Chowk,Sultan Pur Majra,Chhattisgarh,728616,India,Active,2018-06-04,Low
MER00146,"Mani, Kapadia and Dixit",Grocery,Business,9391164050,manikapadiaanddixit146@merchant.com,351468771141Z9,272,Mohanty Circle,Thane,Karnataka,621839,India,Active,2019-10-15,Low
